id	osmid	name	tappa
11448	1143935	Sella della Valletta - San Bernardo di Mendatica
11449	7126566	Sentiero Italia - Tappa U04
11451	1117863	Passo di Cento Croci - Passo della Cappelletta
11452	35024	Passo dei Giovi - Crocetta d'Orero
11453	1820077	Giogo di Giustenice - Colle di Melogno
11454	35027	Passo del Turchino - Colla di Praglia
11455	1820075	Colle Scravaion - Giogo di Toirano
11468	9522818	Sentiero Italia - Tappa F19
11474	11627687	Sentiero Italia - Tappa C15N
11475	6900797	Sentiero Italia - Tappa C03
11480	9298213	Sentiero Italia - Tappa R17
11481	9289279	Sentiero Italia - Tappa R09
11483	9289292	Sentiero Italia - Tappa R10
11486	35026	Colla di Praglia - Passo della Bocchetta
11494	10014677	Sentiero Italia - Tappa C12S
11497	6897278	Sentiero Italia - Tappa C08
11568	6893460	Sentiero Italia - Tappa B02
11569	7700940	Sentiero Italia - Tappa D26N
11580	11999851	Sentiero Italia - Tappa SI L06AP
11583	7555030	Sentiero Italia - Tappa L18
11584	7535049	Sentiero Italia - Tappa L13
11585	7468704	Sentiero Italia - Tappa L04S
11586	9283290	Sentiero Italia - Tappa Q06
11588	9298456	Sentiero Italia - Tappa Q02
11602	7703946	Sentiero Italia - Tappa D28N
11666	7337694	Sentiero Italia - Tappa O13
11672	7198106	SI - Piano di Verteglia - Serino
11702	7198108	Sentiero Italia - Tappa S09
11708	10121328	Sentiero Italia - Tappa O20
11709	7252574	Sentiero Italia - Tappa O03
11785	9288590	Sentiero Italia - Tappa R03
11798	7125613	Sentiero Italia - Tappa U01
11817	7428238	Sentiero Italia - Tappa P13
11824	38381	Rifugio Cascina Miera - Il Giovo
11829	7406366	Sentiero Italia - Tappa P08
11930	38382	Colle di Cadibona - Rifugio Cascina Miera
11955	7160157	Sentiero Italia - Tappa U21
11956	7690606	Sentiero Italia - Tappa D10N
11959	7162545	Sentiero Italia - Tappa U24
11964	7162818	Sentiero Italia - Tappa U25
12027	8433494	Sentiero Italia - Tappa V18
12104	7240523	Sentiero Italia - Tappa S16
12105	7187142	Sentiero Italia - Tappa S01
12137	11626828	Sentiero Italia - Tappa C11N
12140	9349887	Sentiero Italia - Tappa C18N
12141	11627625	Sentiero Italia - Tappa C13N
12142	9349878	Sentiero Italia - Tappa C17N
12143	11628199	Sentiero Italia - Tappa C22N
12145	9349748	Sentiero Italia - Tappa C12N
12151	7220282	Sentiero Italia - Tappa S20
12154	9594837	Sentiero Italia - Tappa V16V
12155	7198107	Sentiero Italia - Tappa S10
12178	7462164	Sentiero Italia - Tappa N16
12187	7700287	Sentiero Italia - Tappa D14N
12209	9213760	Sentiero Italia - Tappa E59
12240	13251154	Sentiero Italia - Tappa R06B
12241	7533903	Sentiero Italia - Tappa L06
12244	9959290	Sentiero Italia - Tappa D19N
12245	7700284	Sentiero Italia - Tappa D17N
12247	7700286	Sentiero Italia - Tappa D15N
12248	7700147	Sentiero Italia - Tappa D12N
12275	7137939	Sentiero Italia - Tappa U11
12279	7448628	Sentiero Italia - Tappa N04
12280	7128760	Sentiero Italia - Tappa U09
12423	7822663	Sentiero Italia - Tappa N03
12428	7449165	Sentiero Italia - Tappa N06
12521	12174735	Sentiero Italia - Tappa E39A
12611	8433535	Sentiero Italia - Tappa V19
12668	7222436	Sentiero Italia - Tappa Q08
13015	12574227	Sentiero Italia - Tappa D11SB
13092	7579607	Sentiero Italia - Tappa E10
13189	1019920	Colla Craiolo - Passo di Cento Croci
13191	163211	Passo della Forcella – Passo delle Lame
13193	38384	Colla di San Giacomo - Colle di Cadibona
13194	63055	Crocetta d'Orero - Colle di Creto
13195	35012	Passo della Scoffera - Sella della Giassina
13196	35003	Barbagelata - Passo di Ventarola
13199	35014	Passo del Faiallo - Passo del Turchino
14043	7127283	Sentiero Italia - Tappa U06
14061	6900863	Sentiero Italia - Tappa C01
14080	7700944	Sentiero Italia - Tappa D22N
14184	9214148	Sentiero Italia - Tappa E62A
14201	2644204	Passo di Prale - Colle San Bartolomeo
14232	8433566	Sentiero Italia - Tappa V22
14240	6934014	Sentiero Italia - Tappa A12
14468	7569936	Sentiero Italia - Tappa E01
14503	7160159	Sentiero Italia - Tappa U19
14531	7468443	Sentiero Italia - Tappa L03S
